capitulo,titulo,total_verses,tipo,epigrafes,temas
17,Oración pidiendo vindicación y protección,15,lamento,"Sobrescrito, Tefilla (oración)","Compromiso, Escatología: Resurrección, Maligno, Fe, Familia: Niños, Dios: Amor, Dios: Providencia, Dolor, Cielo, Misericordia, Obediencia, Persecución, Oración: Petición, Orgullo, Revelación, Justicia, Salvación, Tentación, Violencia"
18,Alabanza a Dios por su liberación,21,realeza,"Sobrescrito, Al Señor, Shir (canción)","Bendición, Llamamiento, Conflicto, Muerte, Fe, Gloria, Dios: Fidelidad, Dios: Amor, Dios: Misericordia, Dios: Poder, Dios: Providencia, Dios: Ira, Santidad, Humildad, Asesinato, Amor, Misericordia, Música, Obediencia, Persecución, Poder, Oración, Oración: Petición, Orgullo, Pureza, Revelación, Venganza, Justicia, Salvación, Estrés, Tabernáculo, Gratitud, Victoria, Guerra, Adoración"
19,Creación y ley del Señor,14,sabiduria,"Sobrescrito, Mizmor (salmo)","Creación, Perdón, Gloria, Orientación, Ley, Oración: Petición, Redención, Revelación, Reverencia, Justicia, Escrituras, Pecado, Discurso, Sabiduría, Adoración"
20,La bendición de Dios sobre el rey,9,realeza,"Sobrescrito, Selah, Mizmor (salmo)","Fe, Dios: Poder, Cielo, Santidad, Gozo, Oración: Intercesión, Sacrificio, Salvación, Tabernáculo, Victoria, Guerra"
21,Gozo en la salvación del Señor,13,realeza,"Sobrescrito, Selah, Mizmor (salmo)","Bendición, Eternidad, Maligno, Fe, Dios: Amor, Dios: Poder, Dios: Presencia, Dios: Providencia, Dios: Ira, Gozo, Oración: Petición, Salvación, Gratitud, Adoración"
22,Sufriendo y esperando la liberación,31,lamento,"Mesiánico, Sobrescrito, Mizmor (salmo)","Conversión, Muerte, Depresión, Desaliento, Duda, Fe, Familia: Madres, Gloria, Dios: Fidelidad, Dios: Soberanía, Gobierno, Dolor, Días festivos: madres, Santidad, Humildad, Jesús: Humanidad, Soledad, Persecución, Oración: Petición, Promesas, Profecía: Jesús, Reverencia, Justicia, Salvación, Sufrimiento, Gratitud, Adoración"
23,El Señor como pastor,6,confianza,"Sobrescrito, Mizmor (salmo)","Seguridad, Consuelo, Muerte, Eternidad, Maligno, Fe, Dios: Amor, Dios: Presencia, Dios: Providencia, Orientación, Oración, Justicia, Gratitud"
24,El rey de gloria,10,himno,"Comunidad, Sobrescrito, Liturgia del templo, Selah, Mizmor (salmo)","Bendición, Carácter, Creación, Gloria, Dios: Poder, Dios: Soberanía, Santidad, Honestidad, Jesús: Epifanía, Pureza, Justicia, Salvación, Administración, Tabernáculo, Adoración"
25,"Una oración pidiendo guía, liberación y perdón",22,lamento,"Sobrescrito","Bendición, Carácter, Pacto, Depresión, Educación, Aliento, Fe, Perdón, Dios: Fidelidad, Dios: Amor, Dios: Misericordia, Dolor, Orientación, Culpa, Honor, Esperanza, Humildad, Soledad, Paciencia, Persecución, Oración: Petición, Redención, Reverencia, Justicia, Salvación, Pecado, Estrés, Sufrimiento, Verdad, Vigilancia"
26,Una oración pidiendo vindicación,12,lamento,"Sobrescrito","Carácter, Maligno, Fe, Gloria, Dios: Fidelidad, Dios: Gracia, Dios: Amor, Honestidad, Hipocresía, Justicia, Obediencia, Oración: Petición, Pureza, Redención, Tabernáculo, Gratitud, Adoración"
27,Una declaración de confianza,14,lamento,"Sobrescrito","Seguridad, Hermosura, Ánimo, Educación, Aliento, Fe, Familia: Padres, Temor, Dios: Gracia, Dios: Providencia, Orientación, Gozo, Música, Paciencia, Persecución, Poder, Oración: Petición, Sacrificio, Salvación, Tabernáculo, Adoración"
28,"Una oración pidiendo ayuda, y alegría en su respuesta",9,lamento,"Sobrescrito","Bendición, Maligno, Fe, Dios: Fidelidad, Dios: Misericordia, Dios: Poder, Gozo, Justicia, Música, Poder, Oración: Petición, Salvación, Tabernáculo, Gratitud"
29,Alabanza a Dios por su gloria y su fuerza,11,alabanza,"Sobrescrito, Mizmor (salmo)","Hermosura, Bendición, Creación, Eternidad, Gloria, Dios: Poder, Dios: Soberanía, Santidad, Paz, Tabernáculo, Adoración"
30,Agradecimiento por la oración contestada,12,agradecimiento,,"Vestimenta, Muerte, Eternidad, Dios: Fidelidad, Dios: Gracia, Dios: Misericordia, Dios: Ira, Dolor, Sanidad, Santidad, Gozo, Música, Oración: Petición, Tabernáculo, Gratitud, Adoración"
31,El Señor es una fortaleza,24,lamento,"Sobrescrito, Mizmor (salmo), Al director musical","Bendición, Compromiso, Confesión, Muerte, Duda, Aliento, Fe, Dios: Fidelidad, Dios: Gracia, Dios: Amor, Dios: Misericordia, Dios: Presencia, Dios: Soberanía, Dolor, Orientación, Honestidad, Honor, Idolatría, Gozo, Paciencia, Persecución, Oración: Petición, Orgullo, Redención, Reverencia, Justicia, Salvación, Calumnia, Estrés, Gratitud, Debilidad"
32,Agradecimiento por el perdón de los pecados,11,agradecimiento,"Sobrescrito, Penitencial, Selah, Maskil (¿canción de sabiduría?)","Bendición, Confesión, Educación, Maligno, Fe, Perdón, Dios: Amor, Dolor, Felicidad, Honestidad, Gozo, Justificación, Pureza, Justicia, Pecado, Debilidad"
33,Alabanza al Señor por su carácter y su creación,22,alabanza,,"Bendición, Consejería, Creación, Muerte, Elección, Eternidad, Fe, Dios: Fidelidad, Dios: Conocimiento, Dios: Amor, Dios: Poder, Dios: Soberanía, Felicidad, Cielo, Días festivos: Agradecimiento, Santidad, Esperanza, Gozo, Justicia, Música, Paciencia, Oración: Petición, Revelación, Reverencia, Justicia, Escrituras, Gratitud, Adoración"
34,Agradecimiento por la liberación del Señor,22,agradecimiento,"Mesiánico, Sobrescrito","Ángeles, Bendición, Educación, Maligno, Fe, Familia: Niños, Dios: Fidelidad, Dios: Presencia, Dios: Providencia, Dolor, Felicidad, Honestidad, Honor, Humildad, Paz, Pobreza, Oración, Redención, Arrepentimiento, Reverencia, Justicia, Salvación, Discurso, Sufrimiento, Gratitud, Adoración"
35,Una oración pidiendo ser rescatado de los enemigos,28,lamento,"Mesiánico, Sobrescrito, Imprecatorio","Ángeles, Vestimenta, Queja, Conflicto, Duda, Maligno, Fe, Ayuno, Amistad, Dios: Poder, Dolor, Felicidad, Honestidad, Gozo, Justicia, Persecución, Pobreza, Poder, Oración: Petición, Profanación, Justicia, Salvación, Vergüenza, Calumnia, Gratitud, Adoración"
36,Iniquidad humana y amor de Dios,12,lamento,"Sobrescrito, Al director musical","Ateísmo, Bendición, Maligno, Insensatez, Dios: Fidelidad, Dios: Amor, Dios: Providencia, Días festivos: Agradecimiento, Justicia, Oración: Intercesión, Orgullo, Reverencia, Justicia, Salvación, Gratitud, Adoración"
37,La protección de los justos y la destrucción de los impíos,40,sabiduria,"Sobrescrito, Imprecatorio","Bendición, Préstamo, Muerte, Educación, Eternidad, Maligno, Familia: Niños, Dar, Dios: Fidelidad, Dios: Providencia, Justicia, Ley, Misericordia, Paciencia, Paz, Perseverancia, Poder, Justicia, Salvación, Discurso, Administración, Sabiduría"
38,Una oración de arrepentimiento,22,lamento,"Penitencial, Sobrescrito, Mizmor (salmo)","Confesión, Disciplina, Maligno, Fe, Insensatez, Dios: Fidelidad, Dios: Conocimiento, Dios: Ira, Soledad, Paciencia, Persecución, Oración: Petición, Arrepentimiento, Salvación, Pecado, Estrés, Sufrimiento, Debilidad"
39,La brevedad de la vida humana,13,lamento,"Sobrescrito, Selah, Mizmor (salmo), Al director musical","Muerte, Disciplina, Eternidad, Fe, Perdón, Esperanza, Paciencia, Oración: Petición, Discurso, Sumisión, Vigilancia, Sabiduría"
40,La liberación y fidelidad de Dios,17,agradecimiento,"Mesiánico, Sobrescrito, Imprecatorio, Mizmor (salmo), Al director musical","Bendición, Compromiso, Confesión, Depresión, Maligno, Fe, Dios: Fidelidad, Dios: Amor, Dios: Misericordia, Felicidad, Honestidad, Honor, Gozo, Ley, Misiones, Música, Obediencia, Paciencia, Persecución, Pobreza, Oración: Petición, Orgullo, Sacrificio, Salvación, Pecado, Adoración"
41,Agradecimiento por la provisión de Dios en tiempos de enfermedad,13,lamento,"Mesiánico, Sobrescrito, Mizmor (salmo), Al director musical","Bendición, Carácter, Confesión, Eternidad, Fe, Amistad, Dar, Dios: Fidelidad, Dios: Gracia, Dios: Presencia, Sanidad, Misericordia, Pobreza, Profecía: Jesús, Enfermedad, Pecado, Calumnia, Adoración"
42,Esperanza en Dios en medio de la desesperación,11,lamento,"Sobrescrito, Maskil (¿canción de sabiduría?), Al director musical","Compromiso, Depresión, Duda, Fe, Dios: Amor, Dolor, Felicidad, Esperanza, Música, Persecución, Oración, Salvación, Sufrimiento, Tabernáculo, Adoración"
43,Una oración pidiendo rescate,5,lamento,,"Depresión, Fe, Dios: Fidelidad, Dolor, Orientación, Santidad, Honestidad, Esperanza, Injusticia, Gozo, Justicia, Música, Persecución, Oración: Petición, Tabernáculo, Verdad, Adoración"
44,Derrota presente y liberación pasada,26,lamento,"Sobrescrito, Comunidad, Selah, Maskil (¿canción de sabiduría?), Al director musical","Compromiso, Pacto, Eternidad, Fe, Familia: Padre, Dios: Conocimiento, Dios: Amor, Dios: Poder, Dios: Providencia, Dios: Soberanía, Dolor, Días festivos: padre, Honor, Asesinato, Persecución, Poder, Oración: Petición, Redención, Salvación, Sufrimiento, Gratitud, Victoria"
45,Celebración de una boda de la realeza,17,realeza,"Canción de boda, Mesiánico, Sobrescrito, Maskil (¿canción de sabiduría?), Shir Yedidot (canción de amores), Al director musical","Hermosura, Bendición, Vestimenta, Eternidad, Familia: Niños, Familia: Padre, Gloria, Dios: Poder, Felicidad, Humildad, Reino de Dios, Matrimonio, Música, Profecía: Jesús, Justicia, Verdad, Victoria, Adoración"
46,Dios provée y protege a su gente,11,alabanza,"Sion, Sobrescrito, Selah, Shir (canción), Al director musical","Seguridad, Ánimo, Fe, Gloria, Dios: Fidelidad, Dios: Poder, Dios: Presencia, Dios: Providencia, Santidad, Música, Paz, Profecía, Guerra, Adoración"
47,Dios es rey sobre toda la tierra,9,alabanza,"Sobrescrito, Selah, Mizmor (salmo), Maskil (¿canción de sabiduría?), Al director musical","Iglesia y estado, Dios: Amor, Dios: Soberanía, Santidad, Gozo, Música, Reverencia, Victoria, Adoración"
48,La grandeza de Dios en Sion,14,alabanza,"Sion, Sobrescrito, Selah, Mizmor (salmo), Shir (canción)","Hermosura, Eternidad, Fe, Temor, Gloria, Dios: Fidelidad, Dios: Amor, Orientación, Santidad, Gozo, Justicia, Oración, Justicia, Tabernáculo, Gratitud, Adoración"
49,Riqueza y el destino de los malvados,20,sabiduria,"Sobrescrito, Selah, Mizmor (salmo), Al director musical","Muerte, Duda, Aliento, Escatología: Resurrección, Eternidad, Insensatez, Avaricia, Dinero, Orgullo, Redención, Riqueza, Sabiduría"
50,Un oráculo sobre sacrificios,23,sabiduria,"Sobrescrito, Selah, Mizmor (salmo)","Hermosura, Compromiso, Pacto, Creación, Disciplina, Maligno, Familia, Gloria, Dios: Poder, Días festivos: Agradecimiento, Honestidad, Juicio, Legalismo, Promesas, Justicia, Sacrificio, Salvación, Calumnia, Gratitud"
51,Una oración de arrepentimiento y suplica por clemencia,19,lamento,"Penitencial, Sobrescrito, Mizmor (salmo), Al director musical","Confesión, Educación, Maligno, Perdón, Dios: Amor, Dios: Misericordia, Dios: Presencia, Culpa, Felicidad, Santidad, Espíritu Santo, Gozo, Justicia, Legalismo, Música, Oración: Petición, Pureza, Arrepentimiento, Sacrificio, Salvación, Pecado, Verdad, Sabiduría, Adoración"
52,Juicio de Dios sobre los malvados y su amor por los fieles,9,lamento,"Sobrescrito, Imprecatorio, Selah, Maskil (¿canción de sabiduría?), Al director musical","Eternidad, Maligno, Fe, Dios: Amor, Dios: Misericordia, Avaricia, Honestidad, Esperanza, Juicio, Paciencia, Oración, Orgullo, Reverencia, Justicia, Calumnia, Discurso, Gratitud, Riqueza"
53,La locura de los impíos y la salvación de Israel,6,lamento,"Sobrescrito, Maskil (¿canción de sabiduría?), Al director musical","Apostasía, Ateísmo, Maligno, Temor, Insensatez, Dolor, Felicidad, Cielo, Honor, Gozo, Restauración, Salvación"
54,Oración contestada por la liberación de los adversarios,7,lamento,"Sobrescrito, Imprecatorio, Selah, Maskil (¿canción de sabiduría?), Al director musical, Neguinot (sobre cuerdas)","Fe, Dios: Fidelidad, Dolor, Persecución, Oración: Petición, Orgullo, Sacrificio, Salvación, Gratitud, Adoración"
55,Traición de un amigo y confianza en Dios,23,lamento,"Sobrescrito, Selah, Maskil (¿canción de sabiduría?), Al director musical, Neguinot (sobre cuerdas)","Enojo, Queja, Conflicto, Pacto, Muerte, Economía, Maligno, Fe, Temor, Amistad, Dios: Fidelidad, Dios: Misericordia, Dolor, Injusticia, Paz, Persecución, Oración: Petición, Redención, Reverencia, Justicia, Salvación, Discurso, Sufrimiento, Tabernáculo, Violencia"
56,Oración por liberación y confianza en Dios,13,lamento,"Sobrescrito, Imprecatorio, Mictam (oración), Al director musical","Conflicto, Ánimo, Muerte, Maligno, Fe, Temor, Dios: Gracia, Dios: Providencia, Dios: Ira, Dolor, Persecución, Oración: Petición, Orgullo, Promesas, Revelación, Estrés, Gratitud"
57,Oración pidiendo ser rescatado de los enemigos,11,lamento,"Sobrescrito, Selah, Mictam (oración), Al director musical","Creación, Fe, Gloria, Dios: Fidelidad, Dios: Amor, Dios: Misericordia, Honor, Misiones, Música, Persecución, Oración: Petición, Discurso, Sufrimiento, Gratitud, Adoración"
58,Juicio sobre los malvados,11,lamento,"Sobrescrito, Imprecatorio, Comunidad, Mictam (oración), Al director musical","Maligno, Familia: Niños, Dios: Ira, Honestidad, Injusticia, Juicio, Oración: Petición, Venganza, Justicia, Violencia"
59,Una oración pidiendo protección,17,lamento,"Sobrescrito, Selah, Mictam (oración), Al director musical","Conflicto, Maligno, Fe, Dios: Amor, Dios: Poder, Dios: Soberanía, Dios: Ira, Honestidad, Juicio, Música, Paciencia, Persecución, Oración: Petición, Orgullo, Pecado, Discurso, Gratitud, Vigilancia"
60,Un lamento después de una derrota y oración por restauración,12,lamento,"Sobrescrito, Comunidad, Selah, Mictam (oración), Al director musical, Lelamed (para la enseñanza)","Alcohol, Fe, Dios: Poder, Dolor, Santidad, Oración: Petición, Reverencia, Salvación, Victoria, Guerra"
61,Confianza en la protección de Dios,8,lamento,"Sobrescrito, Selah, Al director musical, Neguinot (sobre cuerdas)","Desaliento, Eternidad, Fe, Dios: Fidelidad, Dios: Amor, Dios: Poder, Dios: Providencia Orientación Música Oración: Petición Promesas Reverencia Adoración"
62,Confianza en la salvación de Dios,12,confianza,"Sobrescrito, Selah, Mizmor (salmo), Al director musical","Fe, Dios: Amor, Dios: Poder, Dios: Providencia, Buenas obras, Avaricia, Esperanza, Juicio, Paciencia, Perseverancia, Oración, Salvación, Robar, Riqueza"
63,Anhelo de Dios,11,confianza,"Sobrescrito, Mizmor (salmo)","Fe, Gloria, Dios: Amor, Dios: Poder, Dios: Presencia, Dios: Providencia, Honestidad, Gozo, Persecución, Perseverancia, Oración, Tabernáculo, Gratitud, Adoración"
64,Una clamor por venganza divina,10,lamento,"Sobrescrito, Mizmor (salmo), Al director musical","Queja, Maligno, Temor, Injusticia, Gozo, Juicio, Persecución, Oración: Petición, Reverencia, Justicia, Calumnia, Discurso"
65,Agradecimiento por la provisión de Dios,13,alabanza,"Sobrescrito, Comunidad, Mizmor (salmo), Shir (canción), Al director musical","Expiación, Bendición, Creación, Elección, Perdón, Dios: Poder, Dios: Providencia, Santidad, Esperanza, Gozo, Música, Oración, Promesas, Reverencia, Justicia, Salvación, Pecado, Tabernáculo, Gratitud, Adoración"
66,Agradecimiento a Dios por sus obras,20,realeza,"Sobrescrito, Selah, Mizmor (salmo), Shir (canción), Al director musical","Bendición, Eternidad, Dios: Conocimiento, Dios: Amor, Dios: Poder, Dios: Providencia, Dios: Soberanía, Gozo, Milagros, Música, Obediencia, Oración, Promesas, Reverencia, Sacrificio, Sufrimiento, Tabernáculo, Gratitud, Adoración"
67,Una oración de bendición,7,alabanza,"Sobrescrito, Comunidad, Selah, Mizmor (salmo), Shir (canción), Al director musical, Neguinot (sobre cuerdas)","Bendición, Fe, Dios: Gracia, Dios: Providencia, Orientación, Gozo, Justicia, Misiones, Música, Reverencia, Adoración"
68,Alabanza a Dios por proveer victoria,35,alabanza,"Mesiánico, Sobrescrito, Selah, Mizmor (salmo), Shir (canción), Al director musical","Adopción, Gloria, Dios: Padre, Dios: Poder, Dios: Providencia, Felicidad, Santidad, Gozo, Soledad, Música, Obediencia, Pobreza, Poder, Oración, Profecía: Jesús, Revelación, Justicia, Salvación, Tabernáculo, Gratitud, Victoria, Adoración"
69,Una súplica para ser librado de la persecución,36,lamento,"Mesiánico, Sobrescrito, Imprecatorio, Al director musical","Alcohol, Vestimenta, Consuelo, Confesión, Fe, Familia, Ayuno, Dios: Fidelidad, Dios: Conocimiento, Dios: Amor, Dios: Misericordia, Dios: Ira, Dolor, Días festivos: Agradecimiento, Honor, Esperanza, Humildad, Música, Persecución, Pobreza, Poder, Oración: Petición, Profecía: Jesús, Redención, Arrepentimiento, Restauración, Sacrificio, Salvación, Calumnia, Sufrimiento, Tabernáculo, Gratitud, Adoración"
70,Una oración para ser librado de los enemigos,5,lamento,"Sobrescrito, Al director musical","Fe, Felicidad, Honor, Humildad, Gozo, Persecución, Pobreza, Oración: Petición, Salvación, Adoración"
71,Una oración a Dios la roca de refugio,24,lamento,,"Consuelo, Educación, Fe, Familia: Niños, Gloria, Dios: Fidelidad, Dios: Poder, Dios: Providencia, Santidad, Honor, Esperanza, Gozo, Música, Persecución, Oración: Petición, Redención, Avivamiento, Justicia, Salvación, Sufrimiento, Gratitud, Adoración"
72,Una oración pidiendo prosperidad para el rey ungido de Dios,20,realeza,"Sobrescrito","Bendición, Iglesia y estado, Eternidad, Gloria, Dios: Presencia, Dios: Providencia, Gobierno, Injusticia, Jesus: Epifanía, Justicia, Reino de Dios, Misiones, Paz, Pobreza, Oración: Intercesión, Reverencia, Justicia, Violencia, Debilidad, Adoración"
73,El contraste entre impíos y justos,28,sabiduria,"Sobrescrito, Mizmor (salmo)","Seguridad, Blasfemia, Queja, Muerte, Duda, Envidia, Escatología: Resurrección, Eternidad, Maligno, Fe, Glotonería, Dios: Providencia, Orientación, Humildad, Juicio, Obediencia, Poder, Oración, Orgullo, Pureza, Arrepentimiento, Tabernáculo, Tentación, Violencia, Riqueza, Sabiduría"
74,Un lamento en tiempo de derrota nacional,23,lamento,"Sobrescrito, Comunidad, Maskil (¿canción de sabiduría?)","Blasfemia, Queja, Pacto, Creación, Maligno, Fe, Dios: Poder, Dios: Soberanía, Dios: Ira, Dolor, Justicia, Milagros, Persecución, Pobreza, Oración: Petición, Profanación, Tabernáculo, Violencia, Adoración"
75,Agradecimiento por la futura ayuda de Dios,10,agradecimiento,"Sobrescrito, Comunidad, Selah, Mizmor (salmo), Shir (canción), Al director musical","Dios: Providencia, Dios: Ira, Días festivos: Agradecimiento, Juicio, Música, Oración, Orgullo, Gratitud"
76,Alabanza a Dios por su rescate de Israel,12,alabanza,"Sion, Sobrescrito, Selah, Mizmor (salmo), Shir (canción), Al director musical, Neguinot (sobre cuerdas)","Enojo, Dar, Gloria, Dios: Poder, Dios: Ira, Juicio, Oración, Promesas, Reverencia, Salvación, Adoración"
77,Recordando la ayuda de Dios a Israel,20,lamento,"Sobrescrito, Selah, Mizmor (salmo), Al director musical","Consuelo, Queja, Duda, Aliento, Dios: Amor, Dios: Poder, Dolor, Orientación, Días festivos: celebración, Santidad, Milagros, Música, Oración, Redención, Estrés, Sufrimiento"
78,La fidelidad de Dios en la historia de Israel,72,sabiduria,"Sobrescrito, Maskil (¿canción de sabiduría?)","Ángeles, Apostasía, Expiación, Carácter, Pacto, Creación, Duda, Educación, Elección, Familia: Niños, Familia: Padre, Temor, Gloria, Glotonería, Dios: Amor, Dios: Misericordia, Dios: Poder, Dios: Providencia, Dios: Ira, Dolor, Orientación, Días festivos: padre, Días festivos: celebración, Santidad, Honestidad, Honor, Esperanza, Idolatría, Celos, Juicio, Ley, Liderazgo, Matrimonio, Milagros, Música, Obediencia, Parábolas, Profecía: Jesús, Redención, Arrepentimiento, Pecado, Administración, Tabernáculo, Victoria, Mujeres"
79,Un lamento por Jerusalén después de su destrucción,13,lamento,"Sobrescrito, Imprecatorio, Comunidad, Mizmor (salmo)","Expiación, Perdón, Gloria, Dios: Misericordia, Dios: Poder, Dios: Ira, Asesinato, Oración: Petición, Avivamiento, Pecado, Sufrimiento, Tabernáculo, Gratitud, Violencia"
80,Una oración pidiendo la restauración de Israel,19,lamento,"Sobrescrito, Comunidad, Mizmor (salmo), Al director musical","Queja, Orientación, Oración: Petición, Restauración, Avivamiento, Salvación, Sufrimiento"
81,Un llamado de Dios a Israel,16,alabanza,"Sobrescrito, Selah, Al director musical","Disciplina, Dios: Fidelidad, Dios: Providencia, Idolatría, Gozo, Música, Promesas, Arrepentimiento, Adoración"
82,Dios dispone justicia,8,lamento,"Sobrescrito, Selah, Mizmor (salmo)","Dios: Soberanía, Dolor, Injusticia, Justicia, Pobreza, Oración: Petición, Debilidad"
83,Una petición a actuar contra los vecinos de Israel,18,lamento,"Sobrescrito, Imprecatorio, Comunidad, Selah, Mizmor (salmo), Shir (canción)","Dios: Poder, Dios: Soberanía, Honor, Persecución, Oración: Petición"
84,La alegría adorar en el templo,12,alabanza,"Sion, Sobrescrito, Selah, Mizmor (salmo), Al director musical","Bendición, Fe, Dios: Gracia, Dios: Soberanía, Honor, Gozo, Música, Poder, Oración: Petición, Justicia, Tabernáculo, Adoración"
85,Esperanza en la ayuda futura de Dios,36,lamento,"Sobrescrito, Comunidad, Selah, Mizmor (salmo), Al director musical","Fe, Perdón, Dios: Fidelidad, Dios: Amor, Dios: Misericordia, Dios: Providencia, Dios: Ira, Gozo, Paz, Oración: Petición, Revelación, Reverencia, Avivamiento, Justicia, Salvación, Pecado"
86,Una oración pidiendo ayuda contra hombres despiadados,17,lamento,"Sobrescrito, Tefilla (oración)","Compromiso, Creación, Muerte, Educación, Fe, Gloria, Dios: Fidelidad, Dios: Gracia, Dios: Amor, Dios: Misericordia, Dios: Poder, Dolor, Orientación, Santidad, Honor, Humildad, Persecución, Pobreza, Oración: Petición, Reverencia, Sufrimiento, Gratitud, Verdad, Adoración"
87,Las naciones extranjeras vienen a adorar en Jerusalén,7,alabanza,"Sion, Sobrescrito, Selah, Mizmor (salmo), Shir (canción)","Dios: Providencia, Santidad, Música"
88,Una oración pidiendo ayuda en la desesperación,18,lamento,"Sobrescrito, Selah, Mizmor (salmo), Maskil (¿canción de sabiduría?), Shir (canción), Al director musical","Queja, Muerte, Depresión, Amistad, Dios: Amor, Dios: Ira, Dolor, Soledad, Música, Oración: Petición, Sufrimiento, Debilidad"
